"",Set,Count
7247,"(14, 42)",82
1531,"(16, 32)",82
1593,"(31, 32)",82
4543,"(11, 39)",82
7333,"(25, 38)",82
3739,"(47, 7)",82
228,"(18, 2)",82
4097,"(4, 40)",82
401,"(13, 36)",82
400,"(13, 28)",82
799,"(40, 42)",82
1887,"(2, 46)",82
348,"(28, 31)",82
574,"(27, 35)",82
2346,"(18, 45)",82
1995,"(4, 6)",82
1836,"(18, 26)",82
623,"(12, 30)",82
6743,"(45, 5)",82
567,"(18, 35)",82
4544,"(11, 41)",82
3827,"(17, 45)",82
7892,"(28, 3)",82
2792,"(29, 31)",82
4228,"(3, 43)",82
1384,"(21, 30)",82
1337,"(30, 33)",82
629,"(16, 9)",82
2491,"(2, 22)",82
792,"(10, 5)",82
12883,"(21, 3)",81
4275,"(4, 8)",81
1386,"(30, 36)",81
4371,"(38, 6)",81
5249,"(22, 30)",81
2298,"(11, 45)",81
1482,"(11, 5)",81
5688,"(1, 36)",81
4723,"(15, 9)",81
7709,"(17, 19)",81
5644,"(14, 41)",81
800,"(40, 5)",81
801,"(42, 5)",81
1891,"(31, 46)",81
8575,"(34, 40)",81
512,"(22, 45)",81
2303,"(2, 45)",81
7742,"(38, 43)",81
1225,"(22, 3)",81
1227,"(22, 6)",81
1783,"(18, 25)",81
2351,"(26, 45)",81
1063,"(19, 34)",81
9635,"(12, 23)",81
1071,"(32, 4)",81
1640,"(16, 36)",81
3599,"(18, 7)",81
1224,"(13, 6)",81
1175,"(19, 27)",81
2986,"(17, 37)",81
1064,"(19, 37)",81
232,"(18, 6)",81
285,"(1, 14)",81
1642,"(24, 29)",81
2345,"(18, 19)",81
2147,"(23, 29)",81
3365,"(27, 49)",81
2254,"(35, 8)",81
2500,"(33, 41)",81
1835,"(15, 38)",81
124,"(24, 42)",81
963,"(45, 8)",80
5117,"(28, 5)",80
5208,"(4, 47)",80
6828,"(12, 38)",80
2443,"(12, 39)",80
5292,"(12, 15)",80
1832,"(15, 22)",80
5345,"(47, 5)",80
1886,"(2, 39)",80
2394,"(10, 25)",80
