number,date,numbers,szostka_count,szostka_value,piatka_count,piatka_value,czworka_count,czworka_value,trojka_count,trojka_value
5339,04-07-2013,"12,32,36,38,39,40",0,0.0,33,3500.0,1968,100.0,35307,10.0
5338,02-07-2013,"1,6,23,24,41,46",0,0.0,35,3500.0,2062,100.0,37342,10.0
5337,29-06-2013,"5,9,12,18,42,43",0,0.0,36,3500.0,2125,100.0,40157,10.0
5336,27-06-2013,"6,8,20,22,23,44",1,1000000.0,23,3500.0,1596,100.0,27965,10.0
5335,25-06-2013,"1,9,23,31,33,42",0,0.0,11,3500.0,1133,100.0,23062,10.0
5334,22-06-2013,"2,24,25,26,27,42",0,0.0,34,3500.0,1494,100.0,26082,10.0
5333,20-06-2013,"2,4,5,24,38,41",0,0.0,21,3500.0,1558,100.0,31074,10.0
5332,18-06-2013,"8,17,33,35,36,45",0,0.0,24,3500.0,1388,100.0,27040,10.0
5331,15-06-2013,"3,6,17,19,33,36",0,0.0,55,3500.0,2298,100.0,36390,10.0
5330,13-06-2013,"2,16,24,42,47,49",0,0.0,28,3500.0,1095,100.0,21194,10.0
5329,11-06-2013,"3,4,14,18,22,34",1,1000000.0,65,3500.0,3120,100.0,53447,10.0
5328,08-06-2013,"3,16,19,22,34,40",0,0.0,58,3500.0,2687,100.0,48962,10.0
5327,06-06-2013,"2,9,21,31,34,37",0,0.0,40,3500.0,1987,100.0,36217,10.0
5326,04-06-2013,"1,4,12,20,22,34",0,0.0,41,3500.0,1911,100.0,34419,10.0
5325,01-06-2013,"11,12,22,31,32,40",0,0.0,37,3500.0,1577,100.0,29005,10.0
5324,30-05-2013,"1,7,12,20,41,47",0,0.0,24,3500.0,1040,100.0,20106,10.0
5323,28-05-2013,"6,14,23,41,45,47",1,1000000.0,13,3500.0,1034,100.0,19629,10.0
5322,25-05-2013,"1,9,17,36,39,49",1,1000000.0,38,3500.0,1611,100.0,28457,10.0
5321,23-05-2013,"1,8,13,21,32,41",0,0.0,35,3500.0,1670,100.0,29425,10.0
5320,21-05-2013,"1,2,9,14,37,38",0,0.0,20,3500.0,1230,100.0,23687,10.0
5319,18-05-2013,"1,4,16,22,35,36",0,0.0,24,3500.0,1445,100.0,26473,10.0
5318,16-05-2013,"4,13,16,35,41,44",1,1000000.0,38,3500.0,2409,100.0,43747,10.0
5317,14-05-2013,"2,8,11,12,21,23",1,1000000.0,87,3500.0,3277,100.0,51303,10.0
5316,11-05-2013,"1,23,32,33,46,48",0,0.0,34,3500.0,2056,100.0,38912,10.0
5315,09-05-2013,"2,16,20,29,36,44",0,0.0,22,3500.0,1433,100.0,27362,10.0
5314,07-05-2013,"7,8,20,27,39,40",0,0.0,21,3500.0,1367,100.0,25683,10.0
5313,04-05-2013,"6,7,11,29,31,33",0,0.0,33,3500.0,1452,100.0,26074,10.0
5312,02-05-2013,"6,27,34,35,45,48",0,0.0,16,3500.0,1016,100.0,18954,10.0
5311,30-04-2013,"25,26,30,31,37,43",0,0.0,27,3500.0,1150,100.0,21347,10.0
5310,27-04-2013,"2,5,6,16,28,35",0,0.0,31,3500.0,1757,100.0,29937,10.0
5309,25-04-2013,"15,17,19,22,28,46",0,0.0,22,3500.0,1165,100.0,21331,10.0
5308,23-04-2013,"2,9,18,21,27,44",0,0.0,46,3500.0,2305,100.0,41141,10.0
5307,20-04-2013,"5,6,9,29,34,36",0,0.0,36,3500.0,2140,100.0,41631,10.0
5306,18-04-2013,"6,11,21,34,38,41",0,0.0,27,3500.0,1610,100.0,26332,10.0
5305,16-04-2013,"6,9,17,29,37,41",0,0.0,30,3500.0,1326,100.0,24504,10.0
5304,13-04-2013,"6,11,21,35,40,41",0,0.0,29,3500.0,1502,100.0,26912,10.0
5303,11-04-2013,"21,22,23,24,36,38",0,0.0,23,3500.0,1271,100.0,22952,10.0
5302,09-04-2013,"10,15,33,35,45,47",0,0.0,17,3500.0,1233,100.0,22148,10.0
5301,06-04-2013,"10,12,29,35,41,46",0,0.0,33,3500.0,1981,100.0,34930,10.0
5300,04-04-2013,"7,18,22,34,38,47",0,0.0,25,3500.0,1409,100.0,24834,10.0
5299,02-04-2013,"22,24,26,27,46,48",0,0.0,13,3500.0,944,100.0,17117,10.0
5298,30-03-2013,"9,16,20,23,24,47",0,0.0,61,3500.0,3438,100.0,64177,10.0
5297,28-03-2013,"6,9,12,21,22,47",0,0.0,51,3500.0,2690,100.0,48555,10.0
5296,26-03-2013,"3,15,21,39,40,48",0,0.0,31,3500.0,1855,100.0,34183,10.0
5295,23-03-2013,"7,11,21,26,28,36",0,0.0,31,3500.0,2234,100.0,41234,10.0
5294,21-03-2013,"4,20,25,28,32,41",0,0.0,19,3500.0,1262,100.0,23522,10.0
5293,19-03-2013,"1,16,29,33,38,48",0,0.0,16,3500.0,1043,100.0,20584,10.0
5292,16-03-2013,"4,8,12,24,25,29",2,1000000.0,103,3500.0,4444,100.0,68640,10.0
5291,14-03-2013,"8,10,15,19,35,41",0,0.0,54,3500.0,2401,100.0,42308,10.0
5290,12-03-2013,"3,36,37,43,46,47",0,0.0,26,3500.0,1694,100.0,33336,10.0
5289,09-03-2013,"2,3,23,33,36,48",0,0.0,39,3500.0,2102,100.0,40290,10.0
5288,07-03-2013,"12,29,30,33,34,41",0,0.0,21,3500.0,1122,100.0,22821,10.0
5287,05-03-2013,"3,6,15,34,45,48",0,0.0,22,3500.0,1228,100.0,22819,10.0
5286,02-03-2013,"10,14,17,18,30,31",1,1000000.0,49,3500.0,2344,100.0,42343,10.0
5285,28-02-2013,"2,11,21,29,36,49",0,0.0,30,3500.0,1735,100.0,31454,10.0
5284,26-02-2013,"14,16,23,40,43,45",0,0.0,18,3500.0,1159,100.0,22577,10.0
5283,23-02-2013,"8,16,19,20,41,43",0,0.0,18,3500.0,1314,100.0,26393,10.0
5282,21-02-2013,"3,4,14,39,42,47",0,0.0,17,3500.0,1222,100.0,23151,10.0
5281,19-02-2013,"18,19,20,25,32,41",0,0.0,16,3500.0,998,100.0,20519,10.0
5280,16-02-2013,"15,17,21,27,32,35",1,1000000.0,118,3500.0,5927,100.0,103985,10.0
5279,14-02-2013,"3,5,12,22,24,30",0,0.0,106,3500.0,4919,100.0,81279,10.0
5278,12-02-2013,"4,14,28,34,38,40",0,0.0,62,3500.0,2964,100.0,55649,10.0
5277,09-02-2013,"2,8,25,39,43,48",0,0.0,81,3500.0,3147,100.0,55793,10.0
5276,07-02-2013,"1,6,9,14,23,35",0,0.0,53,3500.0,2540,100.0,44207,10.0
5275,05-02-2013,"4,8,24,30,38,40",0,0.0,36,3500.0,1843,100.0,33329,10.0
5274,02-02-2013,"13,17,23,29,40,49",0,0.0,29,3500.0,1864,100.0,35006,10.0
5273,31-01-2013,"10,17,25,26,40,45",0,0.0,14,3500.0,1088,100.0,20873,10.0
5272,29-01-2013,"10,11,20,21,23,34",0,0.0,14,3500.0,1136,100.0,20768,10.0
5271,26-01-2013,"7,19,21,23,29,43",0,0.0,53,3500.0,2045,100.0,32763,10.0
5270,24-01-2013,"4,8,29,35,39,49",1,1000000.0,32,3500.0,1007,100.0,18597,10.0
5269,22-01-2013,"1,28,33,42,44,46",0,0.0,10,3500.0,1208,100.0,24169,10.0
5268,19-01-2013,"15,17,22,25,29,41",0,0.0,28,3500.0,1644,100.0,29019,10.0
5267,17-01-2013,"7,29,30,33,35,47",0,0.0,25,3500.0,1065,100.0,20461,10.0
5266,15-01-2013,"2,7,11,36,38,49",0,0.0,22,3500.0,1717,100.0,34012,10.0
5265,12-01-2013,"1,10,12,16,17,20",0,0.0,46,3500.0,2352,100.0,38269,10.0
